StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
arc-switch1025,Ethernet108,arc-switch1035,Ethernet22,40000,1702,Access
arc-switch1025,Ethernet110,arc-switch1035,Ethernet23,40000,1703,Access
arc-switch1025,Ethernet112,arc-switch1035,Ethernet24,40000,1704,Access
arc-switch1025,Ethernet114,arc-switch1035,Ethernet25,40000,1705,Access
arc-switch1025,Ethernet116,arc-switch1035,Ethernet26,40000,1706,Access
arc-switch1025,Ethernet118,arc-switch1035,Ethernet27,40000,1707,Access
arc-switch1025,Ethernet120,arc-switch1035,Ethernet28,40000,1708,Access
arc-switch1025,Ethernet122,arc-switch1035,Ethernet29,40000,1709,Access
arc-switch1025,Ethernet124,arc-switch1035,Ethernet30,40000,1710,Access
arc-switch1025,Ethernet126,arc-switch1035,Ethernet31,40000,1711,Access

arc-switch1004,Ethernet0,arc-switch1005,Ethernet1,40000,1681,Access
arc-switch1004,Ethernet2,arc-switch1005,Ethernet2,40000,1682,Access
arc-switch1004,Ethernet4,arc-switch1005,Ethernet3,40000,1683,Access
arc-switch1004,Ethernet6,arc-switch1005,Ethernet4,40000,1684,Access
arc-switch1004,Ethernet8,arc-switch1005,Ethernet5,40000,1685,Access
arc-switch1004,Ethernet10,arc-switch1005,Ethernet6,40000,1686,Access
arc-switch1004,Ethernet12,arc-switch1005,Ethernet7,40000,1687,Access
arc-switch1004,Ethernet14,arc-switch1005,Ethernet8,40000,1688,Access
arc-switch1004,Ethernet16,arc-switch1005,Ethernet9,40000,1689,Access
arc-switch1004,Ethernet18,arc-switch1005,Ethernet10,40000,1690,Access
arc-switch1004,Ethernet20,arc-switch1005,Ethernet11,40000,1691,Access
arc-switch1004,Ethernet22,arc-switch1005,Ethernet12,40000,1692,Access
arc-switch1004,Ethernet24,arc-switch1005,Ethernet13,40000,1693,Access
arc-switch1004,Ethernet28,arc-switch1005,Ethernet14,40000,1694,Access
arc-switch1004,Ethernet32,arc-switch1005,Ethernet15,40000,1695,Access
arc-switch1004,Ethernet36,arc-switch1005,Ethernet16,40000,1696,Access
arc-switch1004,Ethernet40,arc-switch1005,Ethernet17,10000,1697,Access
arc-switch1004,Ethernet42,arc-switch1005,Ethernet18,10000,1698,Access
arc-switch1004,Ethernet44,arc-switch1005,Ethernet19,10000,1699,Access
arc-switch1004,Ethernet46,arc-switch1005,Ethernet20,10000,1700,Access
arc-switch1004,Ethernet48,arc-switch1005,Ethernet21,40000,1701,Access
arc-switch1004,Ethernet50,arc-switch1005,Ethernet22,40000,1702,Access
arc-switch1004,Ethernet52,arc-switch1005,Ethernet23,40000,1703,Access
arc-switch1004,Ethernet54,arc-switch1005,Ethernet24,40000,1704,Access
arc-switch1004,Ethernet56,arc-switch1005,Ethernet25,40000,1705,Access
arc-switch1004,Ethernet58,arc-switch1005,Ethernet26,40000,1706,Access
arc-switch1004,Ethernet60,arc-switch1005,Ethernet27,40000,1707,Access
